24 35
1 0.000000e+000 0.000000e+000 0.000000e+000
2 2.200000e+000 0.000000e+000 0.000000e+000
3 2.200000e+000 2.000000e-001 0.000000e+000
4 0.000000e+000 2.000000e-001 0.000000e+000
5 2.000000e-001 0.000000e+000 0.000000e+000
6 4.000000e-001 0.000000e+000 0.000000e+000
7 6.000000e-001 0.000000e+000 0.000000e+000
8 8.000000e-001 0.000000e+000 0.000000e+000
9 1.000000e+000 0.000000e+000 0.000000e+000
10 1.200000e+000 0.000000e+000 0.000000e+000
11 1.400000e+000 0.000000e+000 0.000000e+000
12 1.600000e+000 0.000000e+000 0.000000e+000
13 1.800000e+000 0.000000e+000 0.000000e+000
14 2.000000e+000 0.000000e+000 0.000000e+000
15 2.000000e+000 2.000000e-001 0.000000e+000
16 1.800000e+000 2.000000e-001 0.000000e+000
17 1.600000e+000 2.000000e-001 0.000000e+000
18 1.400000e+000 2.000000e-001 0.000000e+000
19 1.200000e+000 2.000000e-001 0.000000e+000
20 1.000000e+000 2.000000e-001 0.000000e+000
21 8.000000e-001 2.000000e-001 0.000000e+000
22 6.000000e-001 2.000000e-001 0.000000e+000
23 4.000000e-001 2.000000e-001 0.000000e+000
24 2.000000e-001 2.000000e-001 0.000000e+000
20 102 21 22 
22 102 23 24 
6 102 9 10 
2 102 5 6 
23 102 24 4 
8 102 11 12 
10 102 13 14 
18 102 19 20 
11 102 14 2 
24 102 4 1 
7 102 10 11 
14 102 15 16 
16 102 17 18 
21 102 22 23 
19 102 20 21 
13 102 3 15 
4 102 7 8 
17 102 18 19 
5 102 8 9 
3 102 6 7 
15 102 16 17 
12 102 2 3 
1 102 1 5 
9 102 12 13 
33 204 7 6 23 22 
28 204 12 11 18 17 
29 204 11 10 19 18 
35 204 5 1 4 24 
26 204 14 13 16 15 
32 204 8 7 22 21 
34 204 6 5 24 23 
25 204 2 14 15 3 
30 204 10 9 20 19 
31 204 9 8 21 20 
27 204 13 12 17 16 
